temperature_celsius,temperature_fahrenheit,wind_mph,wind_kph,wind_degree
27.5,81.5,12.8,20.5,281
27.5,81.5,9.6,15.5,287
26.3,79.3,11.4,18.4,317
25.6,78.1,10.5,16.9,297
27.2,81,10.1,16.2,274
25.9,78.6,9.8,15.8,287
28,82.4,9.4,15.1,280
27.7,81.9,11,17.6,277
30,86,11.6,18.7,288
26,78.8,11.9,19.1,300
30.6,87.1,9.8,15.8,284
30.3,86.5,5.4,8.6,316
28.3,82.9,6.7,10.8,300
27.2,81,8.9,14.4,263
30.1,86.2,11.2,18,288
30,86,11.6,18.7,288
26,78.8,11.9,19.1,300
26.5,79.7,14.1,22.7,255
28.4,83.1,12.5,20.2,285
26.9,80.4,11.4,18.4,288
26.7,80.1,15,24.1,240
28.1,82.6,11,17.6,280
27.4,81.3,12.5,20.2,273
26,78.8,11.9,19.1,300
27,80.6,14.8,23.8,247
27.2,81,8.9,14.4,263
29.9,85.8,10.5,16.9,259
31.6,88.9,13,20.9,271
32.4,90.3,12.8,20.5,282
27.3,81.1,13,20.9,249
26.7,80.1,10.7,17.3,329
28.2,82.8,10.1,16.2,285
27,80.6,9.6,15.5,296
31.1,88,13,20.9,278
28.8,83.8,10.3,16.6,294
26,78.8,11.9,19.1,300
32,89.6,10.5,16.9,320
30.1,86.2,9.2,14.8,281
28.5,83.3,12.3,19.8,266
26.9,80.4,9.2,14.8,288
30.8,87.4,10.7,17.3,261
27,80.6,7.6,12.2,311
26.9,80.4,13,20.9,262
27.7,81.9,13.4,21.6,269
30.2,86.4,11.9,19.1,280
28.6,83.5,8.3,13.3,278
27.6,81.7,7.2,11.5,299
27.7,81.9,8.1,13,296
27.6,81.7,9.6,15.5,287
29.2,84.6,12.3,19.8,252
20.7,69.3,5.1,8.3,301
31.8,89.2,10.3,16.6,280
20.3,68.5,6.3,10.1,244
20.7,69.3,5.1,8.3,301
30.9,87.6,3.6,5.8,333
23.8,74.8,4.9,7.9,203
25.5,77.9,2.7,4.3,251
30.8,87.4,8.1,13,282
27.2,81,5.1,8.3,76
15.3,59.5,2.7,4.3,307
22.8,73,4.5,7.2,119
15.3,59.5,2.7,4.3,307
15.3,59.5,2.7,4.3,307
27.2,81,5.1,8.3,76
7.1,44.8,3.4,5.4,250
20.1,68.2,2.5,4,151
18.5,65.3,4,6.5,33
20,68,2.2,3.6,159
21.5,70.7,2.2,3.6,4
20.1,68.2,2.5,4,151
27.2,81,5.1,8.3,76
20.1,68.2,2.5,4,151
32.4,90.3,10.7,17.3,290
17.8,64,2.2,3.6,233
27.2,81,5.8,9.4,75
27.3,81.1,3.4,5.4,306
14.2,57.6,3.6,5.8,251
17.5,63.5,2.2,3.6,263
28.6,83.5,9.2,14.8,221
27.8,82,11,17.6,247
30,86,8.1,13,220
31.1,88,11,17.6,250
29.9,85.8,11.2,18,239
31,87.8,9.4,15.1,290
31.5,88.7,12.5,20.2,245
30.3,86.5,10.3,16.6,236
30.2,86.4,13.9,22.3,244
27.3,81.1,13,20.9,249
29,84.2,9.4,15.1,270
29.6,85.3,10.5,16.9,240
28,82.4,12.3,19.8,233
29.7,85.5,10.3,16.6,242
27.7,81.9,11,17.6,247
29.4,84.9,14.3,23,239
27.9,82.2,16.8,27,236
28.4,83.1,9.6,15.5,220
28.4,83.1,10.1,16.2,221
29.2,84.6,16.3,26.3,242
27.7,81.9,14.1,22.7,241
28.6,83.5,9.2,14.8,221
30,86,15,24.1,240
29,84.2,9.4,15.1,270
30,86,15,24.1,240
28.3,82.9,8.7,14,219
33,91.4,8.1,13,300
33.8,92.8,9.6,15.5,310
32,89.6,2.2,3.6,175
35.3,95.5,15.4,24.8,306
32.2,90,10.5,16.9,302
32.7,90.9,8.5,13.7,331
30.9,87.6,11.2,18,301
33,91.4,8.1,13,300
33.3,91.9,3.4,5.4,334
31,87.8,11.2,18,304
33,91.4,8.1,13,300
32,89.6,16.1,25.9,320
33,91.4,6.9,11.2,325
34,93.2,4.3,6.8,340
32,89.6,4.3,6.8,270
30.9,87.6,7.6,12.2,279
30,86,10.5,16.9,350
28.9,84,6.3,10.1,299
32,89.6,9.4,15.1,270
30.6,87.1,7.4,11.9,288
31.3,88.3,6.7,10.8,309
28,82.4,2.2,3.6,342
32.2,90,6,9.7,282
32.9,91.2,6.5,10.4,306
32.5,90.5,5.4,8.6,326
32.8,91,6.7,10.8,335
31.6,88.9,5.6,9,324
31.5,88.7,6.7,10.8,316
28.9,84,2.2,3.6,33
30,86,10.5,16.9,350
28,82.4,9.2,14.8,279
30,86,10.5,16.9,350
34,93.2,8.1,13,290
33.2,91.8,7.2,11.5,284
32.6,90.7,4.7,7.6,261
